date,number_of_predictions,correct_predictions,direction_accuracy,average_direction_score_pct,high_success_rate,low_success_rate,high_low_within_2pct_rate,average_high_miss_pct,average_low_miss_pct,average_high_accuracy_pct,average_low_accuracy_pct,average_range_accuracy_pct,average_combined_accuracy_pct,average_plain_overall_accuracy_pct,average_probability_up,average_confidence
2026-03-13,250,166,0.664,66.4,0.936,0.588,0.576,0.7362113768847347,1.9811024528970274,99.26378862311526,98.01889754710297,98.64134308510913,87.89422872340607,65.43409368969627,0.516562409033506,0.05631777172102574
2026-03-16,250,131,0.524,52.4,0.932,0.648,0.624,0.7924334067803401,1.6190700953478043,99.20756659321965,98.38092990465219,98.79424824893593,83.32949883262395,51.75226371565491,0.5099895350970771,0.05010155473524339
2026-03-17,250,104,0.416,41.6,0.78,0.808,0.644,1.422265029632265,1.2390697593068278,98.57773497036773,98.76093024069317,98.66933260553046,79.6462217370203,41.0160582480427,0.5084047651645178,0.04562916821027726
2026-03-18,250,116,0.464,46.4,0.808,0.888,0.736,1.2349813963379852,0.9716544302397235,98.76501860366201,99.02834556976028,98.89668208671115,81.39778805780743,45.963866285220625,0.518762243577535,0.05201341588400938
2026-03-19,250,73,0.292,29.2,0.784,0.812,0.692,1.4273963164792765,1.2598033267474156,98.57260368352073,98.7401966732526,98.65640017838666,75.5042667855911,28.860757236008766,0.5143888116585765,0.04648157155965976
2026-03-20,250,177,0.708,70.8,0.796,0.46,0.456,1.1972100139322268,2.1708715783685983,98.80278998606776,97.82912842163141,98.31595920384959,89.1439728025664,69.42635526089944,0.5190452891615861,0.0537312934625006
2026-03-23,250,158,0.632,63.2,0.752,0.868,0.724,1.3228625188733236,0.9954419450722074,98.67713748112668,99.0045580549278,98.84084776802723,86.96056517868482,62.39091901534307,0.5055764520788673,0.04291470511333063
2026-03-24,250,137,0.548,54.8,0.916,0.776,0.736,0.8398233847136944,1.4186980476738755,99.1601766152863,98.58130195232613,98.8707392838062,84.18049285587081,54.18701303336858,0.5080388917447552,0.04209645218754335
2026-03-25,250,96,0.384,38.4,0.764,0.816,0.724,1.6056618836636916,1.4533589393395088,98.39433811633631,98.54664106066049,98.4704895884984,78.44699305899894,37.97594137670581,0.5099355934444186,0.04722987764884531
2026-03-26,250,109,0.436,43.6,0.676,0.82,0.6,1.6146061537981122,1.279046839504065,98.38539384620188,98.72095316049594,98.55317350334892,80.23544900223261,42.88427860229547,0.5138043397365847,0.05323364789706049
2026-03-27,250,100,0.4,40.0,0.92,0.712,0.692,0.8398173431661198,1.7038593879769643,99.16018265683387,98.29614061202304,98.72816163442846,79.15210775628563,39.50555051986043,0.5169125252787792,0.04822642594709964
2026-03-30,250,157,0.628,62.8,0.736,0.54,0.528,1.4568179840561837,1.9411848850139912,98.54318201594383,98.058815114986,98.30099856546491,86.46733237697661,61.631313253255634,0.5136605621085459,0.057390522245168996
2026-03-31,250,125,0.5,50.0,0.852,0.624,0.596,1.161948807932584,1.9950937897539365,98.83805119206741,98.00490621024606,98.42147870115674,82.28098580077116,49.161930945048574,0.49840464193723183,0.04230615425505866
2026-04-01,250,137,0.548,54.8,0.832,0.888,0.812,1.1532336327934367,1.1000048366735817,98.84676636720657,98.89999516332641,98.87338076526649,84.18225384351099,54.177919640027845,0.5027680020800442,0.03838459786113104
2026-04-02,250,135,0.54,54.0,0.872,0.884,0.792,1.132689330213154,1.184869459218771,98.86731066978685,98.81513054078123,98.84122060528404,83.89414707018936,53.3449802138386,0.5067512259120415,0.04498696616923234
2026-04-06,250,149,0.596,59.6,0.772,0.908,0.728,1.4755332592545476,0.9857290117930856,98.52446674074545,99.01427098820692,98.76936886447619,85.71291257631745,58.84758715423248,0.5025287717866905,0.03987387836641974
2026-04-07,250,131,0.524,52.4,0.42,0.324,0.3,2.68080744087694,3.4716080339643054,97.31919255912305,96.52839196603568,96.92379226257937,82.08252817505293,50.59842131068853,0.5064113831134194,0.04425144649788935
2026-04-08,250,87,0.348,34.8,0.86,0.816,0.74,1.0585508466226665,1.2781810678815388,98.94144915337733,98.72181893211847,98.83163404274791,77.4877560284986,34.263819129331026,0.48886920212332674,0.055311336729798995
2026-04-09,250,152,0.608,60.8,0.868,0.796,0.732,1.2346975855778277,1.2788421787497328,98.76530241442217,98.72115782125026,98.74323011783622,86.09548674522415,60.07987451233645,0.4982104386833983,0.049189259174481303
2026-04-10,250,96,0.384,38.4,0.852,0.856,0.784,1.260335972121914,1.1407483997725771,98.73966402787808,98.85925160022742,98.79945781405276,78.6663052093685,37.86108223183751,0.49710378137527694,0.04340527681712541
2026-04-13,250,111,0.444,44.4,0.808,0.792,0.692,1.2794003431986518,1.352303112071913,98.72059965680135,98.64769688792809,98.68414827236472,80.58943218157647,43.92379013148222,0.4837889392162046,0.05985907765477544
2026-04-14,250,107,0.428,42.8,0.784,0.792,0.7,1.5444281671774234,1.297200897029224,98.45557183282257,98.70279910297077,98.57918546789668,79.98612364526446,42.230539385218954,0.48656078311963025,0.05271258425807204
2026-04-15,250,128,0.512,51.2,0.868,0.796,0.716,1.0831071567124453,1.40828090421049,98.91689284328756,98.5917190957895,98.75430596953854,82.90287064635902,50.597144753458174,0.4906279587605909,0.05184552196747642
2026-04-16,250,80,0.32,32.0,0.764,0.508,0.476,1.527834218803158,2.2131749585277882,98.47216578119685,97.78682504147221,98.12949541133453,76.08633027422302,31.448234629963984,0.48896480283423377,0.050457544245013454
2026-04-17,250,117,0.468,46.8,0.916,0.868,0.812,0.9811289202165083,1.0935576233877664,99.0188710797835,98.90644237661223,98.96265672819787,81.57510448546525,46.293309549951,0.48512825553868894,0.060565943150064944
2026-04-20,250,161,0.644,64.4,0.908,0.768,0.732,1.0240290901105344,1.3655273236744598,98.97597090988947,98.63447267632554,98.8052217931075,87.33681452873834,63.7425863937261,0.4850945318128286,0.0527722362870142
2026-04-21,250,141,0.564,56.4,0.904,0.648,0.628,0.9795318075922729,1.6894774022208212,99.02046819240773,98.31052259777918,98.66549539509346,84.57699693006231,55.71935795455478,0.48920517130969293,0.04673023234405954
2026-04-22,250,146,0.584,58.4,0.72,0.688,0.616,1.984617121092047,2.054091283933724,98.01538287890796,97.94590871606627,97.98064579748711,84.78709719832474,57.172520044129755,0.4901085183944236,0.04864743802675728
2026-04-23,250,153,0.612,61.2,0.788,0.808,0.7,1.5835590816284701,1.3429781745445462,98.41644091837153,98.65702182545544,98.5367313719135,86.09115424794233,60.363157296621665,0.4887959326229801,0.051225892322782636
2026-04-24,250,131,0.524,52.4,0.88,0.852,0.796,1.024571870369925,1.141613072922653,98.97542812963007,98.85838692707735,98.9169075283537,83.41127168556913,51.82744095576928,0.48370292431156275,0.05904886555403852
2026-04-27,250,138,0.552,55.2,0.784,0.688,0.608,1.4054420503621083,1.6285052625733039,98.59455794963789,98.37149473742669,98.4830263435323,84.05535089568819,54.47834323476747,0.4860811798349649,0.05506048762701344
2026-04-28,250,151,0.604,60.4,0.74,0.796,0.668,1.9080811694927868,1.5096403192274312,98.09191883050721,98.49035968077257,98.29113925563989,85.66075950375992,59.48304088988065,0.4865687494919734,0.049516142002971025
2026-04-29,250,119,0.476,47.6,0.724,0.72,0.608,1.8199644276994764,1.8301902458595374,98.18003557230053,98.16980975414046,98.1749226632205,81.31661510881366,46.65638495250862,0.4860013907753441,0.048130720945439916
2026-04-30,250,155,0.62,62.0,0.88,0.836,0.784,1.0564781374458663,1.1632643894854129,98.94352186255414,98.8367356105146,98.89012873653436,86.59341915768957,61.38792846463105,0.47979423262905957,0.05453369429248316
2026-05-01,250,147,0.588,58.8,0.88,0.832,0.764,1.112046157356675,1.1805277158827858,98.88795384264333,98.81947228411723,98.85371306338027,85.50247537558684,58.17528039561533,0.48958055463961775,0.047323165820155465
2026-05-04,250,140,0.56,56.0,0.88,0.756,0.732,1.1698658376932862,1.5090193133939356,98.8301341623067,98.49098068660606,98.66055742445639,84.44037161630426,55.31054820595623,0.49171060110099535,0.04295751102428695
2026-05-05,250,98,0.392,39.2,0.684,0.592,0.516,1.9460294506792832,2.201404863758492,98.05397054932071,97.7985951362415,97.92628284278112,78.35085522852074,38.464406569087956,0.48610786387296956,0.04937167045803156
2026-05-06,250,129,0.516,51.6,0.768,0.748,0.672,1.7451233639188355,1.645076534489233,98.25487663608118,98.35492346551077,98.30490005079596,82.73660003386397,50.85914480204521,0.48824801367184073,0.04958567107748674
2026-05-07,250,142,0.568,56.8,0.856,0.792,0.736,1.3543200201884782,1.4329835024769109,98.64567997981152,98.56701649752308,98.6063482386673,84.67089882577821,56.0229315593019,0.4926418350898087,0.05523689928380918
2026-05-08,250,142,0.568,56.8,0.828,0.788,0.716,1.3906042610734055,1.443902344994721,98.6093957389266,98.55609765500527,98.58274669696594,84.65516446464395,55.98508746715433,0.4878984258204541,0.05357414305469699
2026-05-11,250,108,0.432,43.2,0.772,0.82,0.728,1.384811364978665,1.3918332086945726,98.61518863502133,98.60816679130542,98.61167771316339,80.14111847544225,42.56110947454946,0.4886579920048236,0.0487876761795113
2026-05-12,250,144,0.576,57.6,0.796,0.852,0.732,1.3518305066646812,1.120430517595508,98.64816949333532,98.87956948240449,98.7638694878699,85.04257965857994,56.85537351381261,0.4889393823234193,0.04929052880321695
2026-05-13,250,122,0.488,48.8,0.864,0.872,0.768,1.1065324024634249,1.2880258988742352,98.89346759753657,98.71197410112578,98.80272084933118,82.13514723288745,48.24288303231304,0.4892891071787103,0.04565935621342375
2026-05-14,250,122,0.488,48.8,0.664,0.76,0.592,1.8360095860804237,1.3380225890281103,98.16399041391958,98.66197741097189,98.41298391244574,81.87532260829715,48.15620042098023,0.49048501990735355,0.047510434680075195
2026-05-15,250,95,0.38,38.0,0.824,0.872,0.78,1.258474084254155,1.4140849626555383,98.74152591574585,98.58591503734446,98.66372047654517,78.44248031769676,37.571363054104296,0.4982174959394088,0.04909322858945092
2026-05-18,250,120,0.48,48.0,0.748,0.888,0.712,1.335849377125828,0.9765958755098305,98.66415062287417,99.02340412449017,98.84377737368217,81.89585158245478,47.516301819911845,0.4917324171393017,0.05439569736252456
2026-05-19,250,143,0.572,57.2,0.872,0.772,0.728,1.1292098080484942,1.377275783643111,98.8707901919515,98.62272421635689,98.7467572041542,84.8978381361028,56.431025654116475,0.496565554403556,0.04906603169769554
2026-05-20,250,122,0.488,48.8,0.836,0.864,0.76,1.2864446189161503,1.096482984732703,98.71355538108385,98.9035170152673,98.80853619817557,82.13902413211704,48.11396157938344,0.4938886538076634,0.04530606257478032
2026-05-21,250,110,0.44,44.0,0.888,0.764,0.744,1.0681735385142774,1.556590474312136,98.93182646148571,98.44340952568787,98.6876179935868,80.45841199572453,43.401615924760584,0.4953413050322436,0.04320748179975272
2026-05-22,250,164,0.656,65.6,0.792,0.716,0.648,1.3797995908545448,1.6284144872632065,98.62020040914545,98.3715855127368,98.49589296094113,87.53059530729408,64.5164073534504,0.49412849390195457,0.05156756254583054
2026-05-26,250,125,0.5,50.0,0.824,0.808,0.712,1.2970842492618673,1.3445395277595398,98.70291575073813,98.65546047224046,98.6791881114893,82.4527920743262,49.368794097523725,0.49500027004137986,0.04974471411501705
2026-05-27,250,117,0.468,46.8,0.844,0.86,0.776,1.1773678503759082,1.0629722346006312,98.82263214962408,98.93702776539936,98.87982995751173,81.51988663834115,46.32730919769644,0.499067204093314,0.054059205086960986
2026-05-28,250,113,0.452,45.2,0.828,0.86,0.772,1.6104752501355823,1.2944320439721784,98.38952474986442,98.70556795602782,98.54754635294611,80.76503090196408,44.686317785747946,0.4958012827511287,0.056099070767443394
2026-05-29,250,129,0.516,51.6,0.644,0.7,0.548,2.013359372678993,1.5984920605079667,97.986640627321,98.40150793949203,98.19407428340652,82.6627161889377,50.76876049042891,0.49797566697042756,0.06245774015033954
2026-06-01,250,149,0.596,59.6,0.732,0.768,0.668,1.7009709489547353,1.6215654216834743,98.29902905104527,98.37843457831652,98.3387318146809,85.42582120978726,58.49602207693935,0.4926511474571463,0.05961447289886868
2026-06-02,250,143,0.572,57.2,0.732,0.792,0.632,1.5013830789898595,1.4154353098759491,98.49861692101014,98.58456469012405,98.5415908055671,84.76106053704473,56.33874051270843,0.4894233016513158,0.04938947556484582
2026-06-03,250,88,0.352,35.2,0.684,0.596,0.5,1.7615873545942289,1.9662192557620457,98.23841264540577,98.03378074423796,98.13609669482186,77.15739779654791,34.6418673057663,0.49400215908847833,0.04844178042107297
2026-06-04,250,100,0.4,40.0,0.692,0.668,0.556,1.9744117772584213,2.208860861379156,98.02558822274158,97.79113913862084,97.90836368068122,78.6055757871208,39.36726131206047,0.49246456201367017,0.06024609000509946
