pick_as_of_date,pick_rank,symbol,companyName,sector,industry,latest_price,intraday_pick_score,predicted_next_day_low,predicted_next_day_high,predicted_range,predicted_range_pct,avg_abs_daily_move,max_abs_daily_move,return_5d_pct,pct_from_20d_high,pct_above_20d_low,up_days,observed_days,reasoning,pick_model,created_at,marketCap,rank_1y_performance,return_1d_pct,return_1y_pct
2026-06-04,1,COHR,Coherent Corp.,Information Technology,Electronic Components,421.8999938964844,93.36,402.933984375,440.8660034179687,37.932019042968705,8.990760747030384,18.966009521484363,63.990020751953125,11.924653199046809,-1.1689242148384849,32.17832346548279,3,5,estimated next-day range is 8.99% of price; average daily move is $18.97; 5-day momentum is positive at 11.92%; trading 1.17% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,79130236404.0,8,1.07,424.1
2026-06-04,2,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",422.0499877929687,90.9,383.0979858398437,461.00198974609367,77.90400390624995,18.458477943248937,38.95200195312499,103.86001586914062,33.11780603775458,-9.423556628754614,83.28483083432312,3,5,estimated next-day range is 18.46% of price; average daily move is $38.95; 5-day momentum is positive at 33.12%; trading 9.42% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,263529861965.0,14,0.23,282.9
2026-06-04,3,ORCL,Oracle Corporation,Information Technology,Application Software,236.33999633789065,89.1,222.68399963378909,249.99599304199225,27.311993408203136,11.556229936280324,13.65599670410158,22.36999511718753,16.02356400522771,-4.759217348004563,30.243573015270652,3,5,estimated next-day range is 11.56% of price; average daily move is $13.66; 5-day momentum is positive at 16.02%; trading 4.76% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,638022034108.0,78,2.61,41.13
2026-06-04,4,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",1759.6800537109375,89.08,1689.3160400390625,1830.0440673828125,140.72802734375,7.997364466737735,70.364013671875,115.1400146484375,7.190372920324961,-3.9213729887558,32.00801500510346,3,5,estimated next-day range is 8.00% of price; average daily move is $70.36; 5-day momentum is positive at 7.19%; trading 3.92% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,245754953401.0,1,-3.92,4454.04
2026-06-04,5,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,1092.6099853515625,88.96000000000001,1065.4531005859376,1119.7668701171874,54.31376953124982,4.971011638134866,27.156884765625023,51.5899658203125,8.831610536602374,0.0,18.529092406335668,4,5,estimated next-day range is 4.97% of price; average daily move is $27.16; 5-day momentum is positive at 8.83%; trading 0.00% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,316070958062.0,36,4.96,84.59
2026-06-04,6,IBM,IBM,Information Technology,IT Consulting & Other Services,301.7699890136719,88.60000000000001,283.27598266601564,320.2639953613281,36.98801269531248,12.257021586608705,18.49400634765625,33.579986572265625,14.211637127956568,-8.340680088789531,40.593547275338615,3,5,estimated next-day range is 12.26% of price; average daily move is $18.49; 5-day momentum is positive at 14.21%; trading 8.34% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,271048825651.0,140,-1.26,16.7
2026-06-04,7,CDNS,Cadence Design Systems,Information Technology,Application Software,411.6799926757813,88.02,400.75798950195315,422.60199584960947,21.84400634765632,5.30606459781483,10.922003173828136,39.23001098632807,10.119027940256586,-1.13115632146773,21.755589323576977,4,5,estimated next-day range is 5.31% of price; average daily move is $10.92; 5-day momentum is positive at 10.12%; trading 1.13% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,107543417570.0,81,0.9,40.35
2026-06-04,8,MU,Micron Technology,Information Technology,Semiconductors,996.0,87.38,948.076025390625,1043.923974609375,95.84794921874992,9.62328807417168,47.923974609375,83.5699462890625,7.848230567382664,-7.741040455630288,54.02935101666109,4,5,estimated next-day range is 9.62% of price; average daily move is $47.92; 5-day momentum is positive at 7.85%; trading 7.74% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,1060588790383.0,4,-7.74,876.41
2026-06-04,9,CRWD,CrowdStrike,Information Technology,Systems Software,719.0900268554688,86.86,684.2400390625,753.9400146484375,69.69997558593741,9.69280242847069,34.84998779296875,60.0,7.166919054466292,-8.064737516516685,42.19133613852224,2,5,estimated next-day range is 9.69% of price; average daily move is $34.85; 5-day momentum is positive at 7.17%; trading 8.06% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,176623439344.0,70,-3.81,47.13
2026-06-04,10,DDOG,Datadog,Information Technology,Application Software,243.6000061035156,86.46000000000001,226.37201232910152,260.82799987792964,34.45598754882812,14.144493713266312,17.227993774414063,30.139984130859403,8.151305346557859,-12.213047433615564,29.07328544381993,2,5,estimated next-day range is 14.14% of price; average daily move is $17.23; 5-day momentum is positive at 8.15%; trading 12.21% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-05T18:18:04,84579700726.0,29,-2.69,105.29
2026-06-05,1,HUM,Humana,Health Care,Managed Health Care,350.0799865722656,87.78,338.1759948730469,361.9839782714844,23.8079833984375,6.800726780056281,11.90399169921875,22.889984130859375,14.622477631151787,0.0,27.64529063913994,4,5,estimated next-day range is 6.80% of price; average daily move is $11.90; 5-day momentum is positive at 14.62%; trading 0.00% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-06T11:58:03,42031128308.0,55,0.08,54.06
2026-06-05,2,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",49.20000076293945,82.66,45.18800048828125,53.21200103759766,8.024000549316412,16.30894395302651,4.012000274658203,9.150001525878906,14.31226699902275,-12.377561129248193,62.859987600023736,2,5,estimated next-day range is 16.31% of price; average daily move is $4.01; 5-day momentum is positive at 14.31%; trading 12.38% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-06T11:58:03,65150814243.0,15,-8.36,182.76
2026-06-05,3,COHR,Coherent Corp.,Information Technology,Electronic Components,376.989990234375,82.22,352.1379821777344,401.8419982910156,49.70401611328123,13.184439216112926,24.852008056640603,63.990020751953125,4.293575943027106,-11.689199255493799,12.447049827959722,3,5,estimated next-day range is 13.18% of price; average daily move is $24.85; 5-day momentum is positive at 4.29%; trading 11.69% from its 20-day high,intraday_range_momentum_score,2026-06-06T11:58:03,73754065713.0,8,-10.64,361.83
2026-06-05,4,ELV,Elevance Health,Health Care,Managed Health Care,415.5299987792969,81.76,405.60999755859376,425.45,19.840002441406227,4.774625779050907,9.920001220703124,18.170013427734375,5.681730511756777,0.0,9.908215602766358,4,5,estimated next-day range is 4.77% of price; average daily move is $9.92; 5-day momentum is positive at 5.68%; trading 0.00% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-06T11:58:03,90237483496.0,152,1.49,11.66
2026-06-05,5,URI,United Rentals,Industrials,Trading Companies & Distributors,1067.77001953125,81.06,1045.4100219726563,1090.1300170898437,44.71999511718741,4.188167329966751,22.35999755859375,61.75994873046875,7.241358869769177,-1.5535372445459106,15.108560094843249,3,5,estimated next-day range is 4.19% of price; average daily move is $22.36; 5-day momentum is positive at 7.24%; trading 1.55% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-06T11:58:03,66892115391.0,54,-1.55,54.58
2026-06-05,6,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,1929.199951171875,79.72,1846.94189453125,2011.4580078125,164.51611328125,8.527685955067343,82.258056640625,201.900146484375,0.38975653905237717,-9.473987012924523,10.836617672234139,4,5,estimated next-day range is 8.53% of price; average daily move is $82.26; 5-day momentum is positive at 0.39%; trading 9.47% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-06T11:58:03,252006607135.0,20,-9.47,148.26
2026-06-05,7,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,1038.6800537109375,79.6,1004.160107421875,1073.2,69.03989257812509,6.646887300036547,34.5199462890625,53.929931640625,1.7256570726559062,-4.935881271785403,12.33044227651121,3,5,estimated next-day range is 6.65% of price; average daily move is $34.52; 5-day momentum is positive at 1.73%; trading 4.94% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-06T11:58:03,306418323889.0,37,-4.94,76.83
2026-06-05,8,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,904.280029296875,79.28000000000002,879.9140380859375,928.6460205078125,48.731982421875045,5.3890366748192715,24.3659912109375,44.45001220703125,3.243635966304148,-3.849093220871369,5.130500916148217,3,5,estimated next-day range is 5.39% of price; average daily move is $24.37; 5-day momentum is positive at 3.24%; trading 3.85% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-06T11:58:03,416504131881.0,19,-3.85,161.66
2026-06-05,9,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,453.010009765625,79.14000000000001,432.9440063476562,473.0760131835938,40.132006835937545,8.858966903777855,20.066003417968773,48.69000244140631,0.6554708756685734,-9.705003240325594,11.46768598983321,4,5,estimated next-day range is 8.86% of price; average daily move is $20.07; 5-day momentum is positive at 0.66%; trading 9.71% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-06T11:58:03,359671569138.0,16,-9.71,181.81
2026-06-05,10,CDNS,Cadence Design Systems,Information Technology,Application Software,376.19000244140625,78.9,358.38599853515626,393.99400634765624,35.60800781249998,9.465431718389732,17.80400390625001,39.23001098632807,0.3360653429277827,-9.654413120586614,11.259318547849917,3,5,estimated next-day range is 9.47% of price; average daily move is $17.80; 5-day momentum is positive at 0.34%; trading 9.65% from its 20-day high; price and 5-day average are above the 20-day average,intraday_range_momentum_score,2026-06-06T11:58:03,103759221713.0,112,-8.62,27.78
